2022/2/1 7,0.0,0.01
2022/2/1 8,0.5,0.33
2022/2/1 9,1.0,1.07
2022/2/1 10,1.0,1.67
2022/2/1 11,1.0,2.09
2022/2/1 12,1.0,2.3
2022/2/1 13,1.0,2.25
2022/2/1 14,1.0,1.95
2022/2/1 15,1.0,1.49
2022/2/1 16,1.0,0.86
2022/2/1 17,0.7,0.24
2022/2/1 18,0.0,0.0
2022/2/2 7,0.0,0.01
2022/2/2 8,0.5,0.33
2022/2/2 9,1.0,1.07
2022/2/2 10,1.0,1.66
2022/2/2 11,1.0,2.1
2022/2/2 12,1.0,2.29
2022/2/2 13,1.0,2.27
2022/2/2 14,1.0,1.98
2022/2/2 15,1.0,1.52
2022/2/2 16,1.0,0.9
2022/2/2 17,0.8,0.27
2022/2/2 18,0.0,0.0
2022/2/3 7,0.0,0.01
2022/2/3 8,0.0,0.21
2022/2/3 9,0.0,0.59
2022/2/3 10,1.0,1.52
2022/2/3 11,1.0,1.66
2022/2/3 12,1.0,2.28
2022/2/3 13,1.0,2.27
2022/2/3 14,1.0,1.99
2022/2/3 15,1.0,1.5
2022/2/3 16,1.0,0.89
2022/2/3 17,0.8,0.27
2022/2/3 18,0.0,0.0
2022/2/4 7,0.0,0.01
2022/2/4 8,0.0,0.16
2022/2/4 9,0.0,0.35
2022/2/4 10,0.5,1.28
2022/2/4 11,0.1,1.05
2022/2/4 12,0.1,1.31
2022/2/4 13,0.3,1.67
2022/2/4 14,0.0,0.83
2022/2/4 15,0.0,0.39
2022/2/4 16,0.0,0.28
2022/2/4 17,0.0,0.14
2022/2/4 18,0.0,0.0
2022/2/5 7,0.0,0.01
2022/2/5 8,0.5,0.34
2022/2/5 9,1.0,1.14
2022/2/5 10,1.0,1.74
2022/2/5 11,1.0,2.16
2022/2/5 12,1.0,2.37
2022/2/5 13,0.7,1.99
2022/2/5 14,0.9,1.65
2022/2/5 15,0.0,0.69
2022/2/5 16,0.0,0.36
2022/2/5 17,0.0,0.14
2022/2/5 18,0.0,0.0
2022/2/6 7,0.0,0.01
2022/2/6 8,0.5,0.37
2022/2/6 9,1.0,1.15
2022/2/6 10,1.0,1.76
2022/2/6 11,1.0,2.21
2022/2/6 12,1.0,2.43
2022/2/6 13,0.7,1.98
2022/2/6 14,0.0,0.79
2022/2/6 15,0.0,0.88
2022/2/6 16,0.0,0.6
2022/2/6 17,0.0,0.17
2022/2/6 18,0.0,0.01
2022/2/7 7,0.0,0.01
2022/2/7 8,0.5,0.39
2022/2/7 9,1.0,1.2
2022/2/7 10,1.0,1.82
2022/2/7 11,1.0,2.25
2022/2/7 12,1.0,2.46
2022/2/7 13,1.0,2.44
2022/2/7 14,1.0,2.16
2022/2/7 15,1.0,1.68
