day,time,place1,place2,place3,sun_intensity,sun_time,elec_intensity
19,0,0,0,1,0.045,0.0,0.0
19,1,0,0,1,0.0461666666666666,0.0,0.0
19,2,0,0,1,0.0473333333333333,0.0,0.0
19,3,0,0,1,0.0485,0.0,0.0
19,4,0,0,1,0.0496666666666666,0.0,0.0
19,5,0,0,1,0.0508333333333333,0.0,0.0
19,6,0,0,1,0.052,0.0,0.0
19,7,0,0,1,0.0531666666666666,0.0,0.0
19,8,0,0,1,0.0543333333333333,0.0,0.0
19,9,0,0,1,0.0555,0.0,0.0
19,10,0,0,1,0.0566666666666666,0.0,0.0
19,11,0,0,1,0.0578333333333333,0.0,0.0
19,12,0,0,1,0.059,0.0,0.0
19,13,0,0,1,0.0601666666666666,0.0,0.0
19,14,0,0,1,0.0613333333333333,0.0,0.0
19,15,0,0,1,0.0625,0.0,0.0
19,16,0,0,1,0.0636666666666666,0.0,0.0
19,17,0,0,1,0.0648333333333333,0.0,0.0
19,18,0,0,1,0.066,0.0,0.0
19,19,0,0,1,0.0671666666666666,0.0,0.0
19,20,0,0,1,0.0683333333333333,0.0,0.0
19,21,0,0,1,0.0694999999999999,0.0,0.0
19,22,0,0,1,0.0706666666666666,0.0,0.0
19,23,0,0,1,0.0718333333333333,0.0,0.0
19,24,0,0,1,0.073,0.0,0.0
19,25,0,0,1,0.0741666666666666,0.0,0.0
19,26,0,0,1,0.0753333333333333,0.0,0.0
19,27,0,0,1,0.0765,0.0,0.0
19,28,0,0,1,0.0776666666666666,0.0,0.0
19,29,0,0,1,0.0788333333333333,0.0,0.0
19,30,0,0,1,0.08,0.0,0.0
19,31,0,0,1,0.0828333333333333,0.0,0.0
19,32,0,0,1,0.0856666666666666,0.0,0.0
19,33,0,0,1,0.0885,0.0,0.0
19,34,0,0,1,0.0913333333333333,0.0,0.0
19,35,0,0,1,0.0941666666666666,0.0,0.0
19,36,0,0,1,0.097,0.0,0.0
19,37,0,0,1,0.0998333333333333,0.0,0.0
19,38,0,0,1,0.1026666666666666,0.0,0.0
19,39,0,0,1,0.1055,0.0,0.0
19,40,0,0,1,0.1083333333333333,0.0,0.0
19,41,0,0,1,0.1111666666666666,0.0,0.0
19,42,0,0,1,0.114,0.0,0.0
19,43,0,0,1,0.1168333333333333,0.0,0.0
19,44,0,0,1,0.1196666666666666,0.0,0.0
19,45,0,0,1,0.1225,0.0,0.0
19,46,0,0,1,0.1253333333333333,0.0,0.0
19,47,0,0,1,0.1281666666666666,0.0,0.0
19,48,0,0,1,0.1309999999999999,0.0,0.0
19,49,0,0,1,0.1338333333333333,0.0,0.0
19,50,0,0,1,0.1366666666666666,0.0,0.0
19,51,0,0,1,0.1395,0.0,0.0
19,52,0,0,1,0.1423333333333333,0.0,0.0
19,53,0,0,1,0.1451666666666667,0.0,0.0
19,54,0,0,1,0.148,0.0,0.0
19,55,0,0,1,0.1508333333333333,0.0,0.0
19,56,0,0,1,0.1536666666666666,0.0,0.0
19,57,0,0,1,0.1565,0.0,0.0
19,58,0,0,1,0.1593333333333333,0.0,0.0
19,59,0,0,1,0.1621666666666666,0.0,0.0
19,60,0,0,1,0.165,0.0,0.0
19,61,0,0,1,0.1678333333333333,0.0,0.0
19,62,0,0,1,0.1706666666666666,0.0,0.0
19,63,0,0,1,0.1735,0.0,0.0
19,64,0,0,1,0.1763333333333333,0.0,0.0
19,65,0,0,1,0.1791666666666666,0.0,0.0
19,66,0,0,1,0.182,0.0,0.0
19,67,0,0,1,0.1848333333333333,0.0,0.0
19,68,0,0,1,0.1876666666666666,0.0,0.0
19,69,0,0,1,0.1905,0.0,0.0
19,70,0,0,1,0.1933333333333333,0.0,0.0
19,71,0,0,1,0.1961666666666666,0.0,0.0
19,72,0,0,1,0.1989999999999999,0.0,0.0
19,73,0,0,1,0.2018333333333333,0.0,0.0
19,74,0,0,1,0.2046666666666666,0.0,0.0
19,75,0,0,1,0.2075,0.0,0.0
19,76,0,0,1,0.2103333333333333,0.0,0.0
19,77,0,0,1,0.2131666666666666,0.0,0.0
19,78,0,0,1,0.216,0.0,0.0
19,79,0,0,1,0.2188333333333333,0.0,0.0
19,80,0,0,1,0.2216666666666666,0.0,0.0
19,81,0,0,1,0.2245,0.0,0.0
19,82,0,0,1,0.2273333333333333,0.0,0.0
19,83,0,0,1,0.2301666666666666,0.0,0.0
19,84,0,0,1,0.233,0.0,0.0
19,85,0,0,1,0.2358333333333333,0.0,0.0
19,86,0,0,1,0.2386666666666666,0.0,0.0
19,87,0,0,1,0.2415,0.0,0.0
19,88,0,0,1,0.2443333333333333,0.0,0.0
19,89,0,0,1,0.2471666666666666,0.0,0.0
19,90,0,0,1,0.25,0.0,0.0
19,91,0,0,1,0.264,0.005,0.0
19,92,0,0,1,0.2779999999999999,0.01,0.0
19,93,0,0,1,0.292,0.0149999999999999,0.0
19,94,0,0,1,0.306,0.02,0.0
19,95,0,0,1,0.32,0.025,0.0
19,96,0,0,1,0.3339999999999999,0.0299999999999999,0.0
19,97,0,0,1,0.348,0.035,0.0
19,98,0,0,1,0.362,0.04,0.0
19,99,0,0,1,0.376,0.045,0.0
19,100,0,0,1,0.3899999999999999,0.05,0.0
19,101,0,0,1,0.404,0.055,0.0
19,102,0,0,1,0.418,0.0599999999999999,0.0
19,103,0,0,1,0.432,0.065,0.0
19,104,0,0,1,0.446,0.07,0.0
19,105,0,0,1,0.46,0.075,0.0
19,106,0,0,1,0.474,0.08,0.0
19,107,0,0,1,0.488,0.0849999999999999,0.0
19,108,0,0,1,0.502,0.09,0.0
19,109,0,0,1,0.516,0.095,0.0
19,110,0,0,1,0.53,0.1,0.0
19,111,0,0,1,0.544,0.105,0.0
19,112,0,0,1,0.558,0.11,0.0
19,113,0,0,1,0.572,0.1149999999999999,0.0
19,114,0,0,1,0.5860000000000001,0.1199999999999999,0.0
19,115,0,0,1,0.6,0.125,0.0
19,116,0,0,1,0.6140000000000001,0.13,0.0
19,117,0,0,1,0.6280000000000001,0.1349999999999999,0.0
19,118,0,0,1,0.642,0.14,0.0
19,119,0,0,1,0.656,0.145,0.0
19,120,0,0,1,0.67,0.15,0.0
19,121,0,0,1,0.6839999999999999,0.1549999999999999,0.0
19,122,0,0,1,0.6980000000000001,0.16,0.0
19,123,0,0,1,0.7120000000000001,0.165,0.0
19,124,0,0,1,0.7260000000000001,0.1699999999999999,0.0
19,125,0,0,1,0.7400000000000001,0.175,0.0
19,126,0,0,1,0.754,0.18,0.0
19,127,0,0,1,0.7680000000000001,0.185,0.0
19,128,0,0,1,0.782,0.19,0.0
19,129,0,0,1,0.796,0.1949999999999999,0.0
19,130,0,0,1,0.81,0.2,0.0
19,131,0,0,1,0.8240000000000001,0.205,0.0
19,132,0,0,1,0.838,0.21,0.0
19,133,0,0,1,0.8520000000000001,0.215,0.0
19,134,0,0,1,0.866,0.22,0.0
19,135,0,0,1,0.8800000000000001,0.225,0.0
19,136,0,0,1,0.894,0.2299999999999999,0.0
19,137,0,0,1,0.908,0.235,0.0
19,138,0,0,1,0.9220000000000002,0.2399999999999999,0.0
19,139,0,0,1,0.936,0.245,0.0
19,140,0,0,1,0.95,0.25,0.0
19,141,0,0,1,0.964,0.255,0.0
19,142,0,0,1,0.978,0.26,0.0
19,143,0,0,1,0.992,0.2649999999999999,0.0
19,144,0,0,1,1.006,0.2699999999999999,0.0
19,145,0,0,1,1.02,0.275,0.0
19,146,0,0,1,1.034,0.28,0.005277432675987331
19,147,0,0,1,1.048,0.285,0.006271325832473009
19,148,0,0,1,1.062,0.29,0.008126126441407549
19,149,0,0,1,1.076,0.295,0.00960996692855518
19,150,0,0,1,1.09,0.3,0.010064918021312708
19,151,0,0,1,1.0938333333333332,0.3,0.010687851056011478
19,152,0,0,1,1.0976666666666666,0.3,0.009693957899525799
19,153,0,0,1,1.1015,0.2999999999999999,0.005599398064708044
19,154,0,0,1,1.1053333333333335,0.3,0.006058365119192309
19,155,0,0,1,1.1091666666666666,0.3,0.006488302507480445
19,156,0,0,1,1.113,0.3,0.009102521478941014
19,157,0,0,1,1.1168333333333331,0.3,0.010036921030989167
19,158,0,0,1,1.120666666666667,0.3,0.010677352184640151
19,159,0,0,1,1.1245,0.3,0.009511977462422789
19,160,0,0,1,1.1283333333333334,0.3,0.009847941346305272
19,161,0,0,1,1.1321666666666668,0.3,0.007874153528495687
19,162,0,0,1,1.136,0.3,0.007170729146616738
19,163,0,0,1,1.1398333333333333,0.3,0.01033088942938634
19,164,0,0,1,1.1436666666666668,0.3,0.011097307039493255
19,165,0,0,1,1.1475000000000002,0.3,0.011926717877828133
19,166,0,0,1,1.151333333333333,0.3,0.008976535022485082
19,167,0,0,1,1.155166666666667,0.3,0.007422702059528601
19,168,0,0,1,1.159,0.3,0.010341388300757669
19,169,0,0,1,1.1628333333333336,0.3,0.006708778806278325
19,170,0,0,1,1.1666666666666667,0.3,0.006509300250223101
19,171,0,0,1,1.1705,0.3,0.0073072144744439965
19,172,0,0,1,1.1743333333333337,0.3,0.006564376296761212
19,173,0,0,1,1.1781666666666668,0.3,0.006705279182487882
19,174,0,0,1,1.182,0.3,0.008483088068032685
19,175,0,0,1,1.1858333333333335,0.3,0.009980927050342087
19,176,0,0,1,1.1896666666666669,0.3,0.008315106126091446
19,177,0,0,1,1.1935000000000002,0.3,0.01661621375702112
19,178,0,0,1,1.1973333333333334,0.3,0.014474443997270294
19,179,0,0,1,1.2011666666666665,0.3,0.015062380794064637
19,180,0,0,1,1.2050000000000003,0.3,0.013354564384328685
19,181,0,0,1,1.2088333333333334,0.3,0.01812805123449229
19,182,0,0,1,1.2126666666666668,0.3,0.01553832962956482
19,183,0,0,1,1.2165,0.3,0.011800731421372203
19,184,0,0,1,1.2203333333333333,0.3,0.00782515879542949
19,185,0,0,1,1.2241666666666666,0.3,0.006187334861502388
19,186,0,0,1,1.2280000000000002,0.3,0.006677282192164342
19,187,0,0,1,1.2318333333333331,0.3,0.0004479518451766435
19,188,0,0,1,1.2356666666666667,0.3,0.009798946613239073
19,189,0,0,1,1.2395,0.3,0.010498871371327581
19,190,0,0,1,1.2433333333333334,0.3,0.018787816375313425
19,191,0,0,1,1.247166666666667,0.3,0.015678314581182524
19,192,0,0,1,1.251,0.3,0.015713310819086945
19,193,0,0,1,1.2548333333333337,0.3,0.012283679504453271
19,194,0,0,1,1.2586666666666668,0.3,0.013316068522633813
19,195,0,0,1,1.2625,0.3,0.013246076046824967
19,196,0,0,1,1.2663333333333333,0.3,0.013036098619398414
