day,time,place1,place2,place3,sun_intensity,sun_time,elec_intensity
11,0,0,0,1,0.05,0.05,0.0
11,1,0,0,1,0.0516666666666666,0.0516666666666666,0.0
11,2,0,0,1,0.0533333333333333,0.0533333333333333,0.0
11,3,0,0,1,0.055,0.055,0.0
11,4,0,0,1,0.0566666666666666,0.0566666666666666,0.0
11,5,0,0,1,0.0583333333333333,0.0583333333333333,0.0
11,6,0,0,1,0.06,0.06,0.0
11,7,0,0,1,0.0616666666666666,0.0616666666666666,0.0
11,8,0,0,1,0.0633333333333333,0.0633333333333333,0.0
11,9,0,0,1,0.065,0.065,0.0
11,10,0,0,1,0.0666666666666666,0.0666666666666666,0.0
11,11,0,0,1,0.0683333333333333,0.0683333333333333,0.0
11,12,0,0,1,0.07,0.07,0.0
11,13,0,0,1,0.0716666666666666,0.0716666666666666,0.0
11,14,0,0,1,0.0733333333333333,0.0733333333333333,0.0
11,15,0,0,1,0.075,0.075,0.0
11,16,0,0,1,0.0766666666666666,0.0766666666666666,0.0
11,17,0,0,1,0.0783333333333333,0.0783333333333333,0.0
11,18,0,0,1,0.08,0.08,0.0
11,19,0,0,1,0.0816666666666666,0.0816666666666666,0.0
11,20,0,0,1,0.0833333333333333,0.0833333333333333,0.0
11,21,0,0,1,0.085,0.085,0.0
11,22,0,0,1,0.0866666666666666,0.0866666666666666,0.0
11,23,0,0,1,0.0883333333333333,0.0883333333333333,0.0
11,24,0,0,1,0.09,0.09,0.0
11,25,0,0,1,0.0916666666666666,0.0916666666666666,0.0
11,26,0,0,1,0.0933333333333333,0.0933333333333333,0.0
11,27,0,0,1,0.095,0.095,0.0
11,28,0,0,1,0.0966666666666666,0.0966666666666666,0.0
11,29,0,0,1,0.0983333333333333,0.0983333333333333,0.0
11,30,0,0,1,0.1,0.1,0.0
11,31,0,0,1,0.115,0.115,0.0
11,32,0,0,1,0.13,0.13,0.0
11,33,0,0,1,0.145,0.145,0.0
11,34,0,0,1,0.16,0.16,0.0
11,35,0,0,1,0.175,0.175,0.0
11,36,0,0,1,0.19,0.19,0.0
11,37,0,0,1,0.205,0.205,0.0
11,38,0,0,1,0.22,0.22,0.0
11,39,0,0,1,0.235,0.235,0.0
11,40,0,0,1,0.25,0.25,0.0
11,41,0,0,1,0.265,0.265,0.0
11,42,0,0,1,0.28,0.28,0.0
11,43,0,0,1,0.295,0.295,0.0
11,44,0,0,1,0.31,0.31,0.0
11,45,0,0,1,0.325,0.325,0.0
11,46,0,0,1,0.3399999999999999,0.3399999999999999,0.0
11,47,0,0,1,0.355,0.355,0.0
11,48,0,0,1,0.37,0.37,0.0
11,49,0,0,1,0.385,0.385,0.0
11,50,0,0,1,0.4,0.4,0.0
11,51,0,0,1,0.415,0.415,0.0
11,52,0,0,1,0.43,0.43,0.0
11,53,0,0,1,0.445,0.445,0.0
11,54,0,0,1,0.46,0.46,0.0
11,55,0,0,1,0.475,0.475,0.0
11,56,0,0,1,0.49,0.49,0.0
11,57,0,0,1,0.505,0.505,0.0
11,58,0,0,1,0.52,0.52,0.0
11,59,0,0,1,0.535,0.535,0.0
11,60,0,0,1,0.55,0.55,0.0
11,61,0,0,1,0.565,0.565,0.0
11,62,0,0,1,0.58,0.58,0.0
11,63,0,0,1,0.5950000000000001,0.5950000000000001,0.0
11,64,0,0,1,0.61,0.61,0.0
11,65,0,0,1,0.625,0.625,0.0
11,66,0,0,1,0.64,0.64,0.0
11,67,0,0,1,0.6549999999999999,0.6549999999999999,0.0
11,68,0,0,1,0.67,0.67,0.0
11,69,0,0,1,0.685,0.685,0.0
11,70,0,0,1,0.7,0.7,0.0
11,71,0,0,1,0.715,0.715,0.0
11,72,0,0,1,0.73,0.73,0.0
11,73,0,0,1,0.745,0.745,0.0
11,74,0,0,1,0.76,0.76,0.0
11,75,0,0,1,0.775,0.775,0.0
11,76,0,0,1,0.7899999999999999,0.7899999999999999,0.0
11,77,0,0,1,0.8049999999999999,0.8049999999999999,0.0
11,78,0,0,1,0.8200000000000001,0.8200000000000001,0.0
11,79,0,0,1,0.8350000000000001,0.8350000000000001,0.0
11,80,0,0,1,0.85,0.85,0.0
11,81,0,0,1,0.865,0.865,0.0
11,82,0,0,1,0.88,0.88,0.0
11,83,0,0,1,0.895,0.895,0.0
11,84,0,0,1,0.91,0.91,0.0
11,85,0,0,1,0.925,0.925,0.0
11,86,0,0,1,0.94,0.94,0.0
11,87,0,0,1,0.955,0.955,0.0
11,88,0,0,1,0.97,0.97,0.0
11,89,0,0,1,0.985,0.985,0.0
11,90,0,0,1,1.0,1.0,0.0
11,91,0,0,1,1.0,1.0,0.0
11,92,0,0,1,1.0,1.0,0.0
11,93,0,0,1,1.0,1.0,0.0
11,94,0,0,1,1.0,1.0,0.0
11,95,0,0,1,1.0,1.0,0.0
11,96,0,0,1,1.0,1.0,0.0
11,97,0,0,1,1.0,1.0,0.0
